province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,275.5340650649414,24.091520515625,28.961838208789064,19.274152891796877,185.64811228595653,1.0200448940865279,9.687686216992189,0.7059978117946419,25.283926662931073,2.6178945605596433,79.36896786445313
Apayao,2025,212.35804207666015,25.786489898046877,29.576244566601563,22.04799803652344,189.7459816658952,2.253977150518847,7.528246750078125,0.6176740909343397,26.674830013043575,3.3594765021805717,68.66808695820313
Agusan del Sur,2025,302.72450433642575,27.22636982890625,31.594163978124996,22.906915683203124,184.48131215753307,1.0069005513178926,8.687248394921875,0.8119442708258393,30.317304965000915,2.8756805756662565,77.21115322421875
Abra,2025,205.94955699560546,25.10009250332031,28.838750059765626,21.408485777539063,198.73471275408198,2.2944892897130647,7.430264392226563,0.6941245342694922,25.62418345719538,3.3308675684405165,66.00850444785156
Kalinga,2025,216.3122408540039,23.651402007421872,27.720881307421877,19.633623176757812,190.94726633428925,2.0483435228164817,8.087258140664062,0.6305906452632566,24.322412153637746,3.0103418298979316,70.5506373955078
Mountain Province,2025,181.40022521972656,28.39115136328125,32.29797462363281,24.533501206445315,189.61435450610736,2.2895766475878228,7.7644744071875,0.5475661786549125,29.68311228150796,3.811874130566941,61.735584546679696
Quirino,2025,276.4856759125976,25.328205726171873,29.452666896093753,21.251213138671876,188.82851928985824,2.5871990499925994,8.201453827421876,0.6153820601588708,27.293027565916425,2.993942230218298,73.50888912910158
Ifugao,2025,212.6244399116211,25.3041786265625,29.518471599218746,21.146521536328123,189.49645955403602,1.9853975836435929,8.371949762890626,0.6033748438075486,26.508985375480734,3.1534862624391073,70.08189551171876
Benguet,2025,222.81011560986326,21.73367482675781,25.47851850664063,18.036331446875,193.39087718025516,2.708480277108361,7.442187179765625,0.5438159944861267,21.910279098988454,2.761701181889569,73.49350258691406
Nueva Vizcaya,2025,221.8352266030273,24.307724679492193,28.326030163085935,20.342741588867188,190.91854924911073,2.1774048295143276,7.983288684218749,0.6145750086855746,25.17810650907046,3.0142032308175306,71.62440154394531
Nueva Ecija,2025,202.78534937451175,26.892416991796875,30.995624459374998,22.842295041796874,203.19493948250314,2.055726517413416,8.153329317578127,0.9395820447981003,28.043694667923223,3.3868716678689337,69.79284825976562
Tarlac,2025,177.43842637109373,27.45174604570312,31.031542348046873,23.924447591601563,203.63455949237039,1.9811412147020473,7.107094596445314,1.1184655229332048,28.401938810555144,3.454760104706511,70.72390595000002
Laguna,2025,227.43142548242184,27.619694063281244,31.103897254492185,24.17215697207031,180.4689561279293,1.9854533437855997,6.931740362421875,0.7591954921990725,29.671567245325207,3.3090910393136816,73.49265594882812
Cavite,2025,172.0960162290039,27.741715217773436,31.33552299082031,24.192932458789063,179.12759279668856,2.4108321443466854,7.142590462031251,0.8688457774037688,28.869504420919764,3.479839954490124,70.34683587656251
Batangas,2025,193.5821207446289,27.596404648828127,31.102395349414063,24.142083799999998,176.52461565803037,2.3549130246541456,6.960311579414062,0.786711136145947,29.813251333161475,3.2577326845803363,73.85360961914061
Quezon,2025,279.05678459716796,27.304615688476567,30.422083509960938,24.23701762226563,180.79791894057004,2.531663260266292,6.185065547695312,0.7187079815699213,30.392196391433604,3.171787579955442,75.03238128066405
Camarines Norte,2025,333.11793011621097,27.37791778046875,30.39291795058594,24.406241755078124,178.692410932157,2.4142303514019465,5.986676265507812,0.6914288231692339,30.57767927429362,3.1793875075523905,75.98027269609376
Camarines Sur,2025,290.5443005571289,27.452336115429688,30.637686787109374,24.316563540234377,176.30954287527936,2.382982624797388,6.321123206875001,0.6647960608154225,30.441833257364447,3.228882936611523,76.51773583476562
Albay,2025,300.70325881054686,27.064884643554688,30.39602192851563,23.78457820683594,174.06702561940517,2.2615927067645023,6.611444111679688,0.6470746170044046,29.976873211196075,3.1747428077792175,76.96688982773436
Sorsogon,2025,309.92762977783207,27.85920170957031,31.171352088476564,24.597053482421874,175.08141327298534,2.272281202326139,6.574298866054686,0.6233108456733809,31.3248082118818,3.240624035025542,76.21704479726563
Rizal,2025,242.23458936328123,26.513524599804686,30.209346573242186,22.868538878125,185.1483576370908,2.0452384334855243,7.3408075851171875,0.7756747218311542,27.7823332441907,3.2543154245662236,73.34777253632812
Bulacan,2025,189.89185467675782,28.319284838085935,31.886023519335936,24.797546956835937,190.69172059603687,2.2232910110217303,7.088476692500001,0.8923517266756708,29.47539283227256,3.6279561685549515,68.93541008613282
Pampanga,2025,146.86323729833984,28.27653046171875,32.33506596738282,24.26632415253906,195.7766122426448,2.2572269103676526,8.06874109484375,1.1006329230582619,29.32577403774041,3.664029138560489,67.28003802109374
Bataan,2025,221.92462248486325,27.377238499414062,31.05580271230469,23.74950198300781,188.11957201408578,2.8168895413782638,7.306301139296875,1.0111638416878566,28.307961583073478,3.57080242962221,66.27403646406249
Zambales,2025,201.4564957446289,27.117363621484376,30.912619588671873,23.36880262011719,198.34454858930025,2.7907918527114273,7.543816928554687,1.0690668363175382,28.138950325501806,3.5075468285653097,67.70211237499998
Pangasinan,2025,188.01123695556635,27.807940033593752,31.59416210683594,24.07171956035156,207.94479588497126,2.390558775373497,7.522441996484375,1.1487813575585266,28.996304091474542,3.6117446502782817,66.65908421171875
La Union,2025,165.25003342675785,28.005191880273436,31.81951461992188,24.240495465234375,208.43005324404422,2.6250712986644467,7.579018724687501,1.0204209457103404,29.473311810329907,3.6134092140867766,66.2822138451172
Ilocos Sur,2025,176.04168389550787,28.090409916015624,31.62686519414062,24.606479251953125,205.44682085019016,2.602479932312734,7.020385862187499,0.8415962339746976,29.436989641359695,3.623270218578765,71.02122171230468
Ilocos Norte,2025,216.56512162890624,26.1359266734375,29.919204731445312,22.39762114960938,197.96834478405893,2.6034494932146997,7.521583091835937,0.740051324077184,26.727299327430767,3.6561302590488647,60.1181675544922
Isabela,2025,234.18972392675784,26.76347058886719,31.156148841406253,22.419506015234376,190.85977346687818,2.3971921532924227,8.736642826171876,0.7192662718998236,28.909963007264572,3.283502902648147,70.49931736601562
Occidental Mindoro,2025,202.554722262207,27.033385119726564,30.733744135937503,23.380524551757816,179.05781464127185,2.4819746719912663,7.353219184179688,0.7216559455198305,28.66441069624898,3.3217557724485762,72.47536873046874
Oriental Mindoro,2025,218.55029812890623,26.781599380859376,30.360516897656247,23.253807222851567,176.10228758312348,2.355402572717154,7.106709664804686,0.6867316103653078,28.597209404441983,3.2920020073688074,74.15400665722656
Marinduque,2025,214.87679268066407,27.11031238964844,30.21649637167969,24.05326439003906,177.35802547679174,2.393957545598343,6.163231911640626,0.732656295199101,29.85899205337762,3.2214738000610827,73.7498491328125
Romblon,2025,223.8993436513672,27.295011146093753,30.04575692558594,24.595092563085938,182.02338811149326,2.3118336324970565,5.4506642025000005,0.6923402839425689,29.925009971294322,3.312971675244884,74.50163602148437
Masbate,2025,224.55002460058594,28.5016850703125,31.82672986582031,25.228066295898437,178.84197419308882,2.2087737627468185,6.598663139921875,0.7377810963869671,31.96932294251644,3.355886191544138,75.48590130839844
Catanduanes,2025,313.5744742666015,26.915891102929688,30.47848116484375,23.402467741015627,175.10065363401952,2.6602983048756865,7.076013703828126,0.6057047009497409,29.433726045797954,3.187843519020383,76.86621764101562
Batanes,2025,199.1671034277344,26.940440093359378,30.115637977148435,23.815267223632812,173.00252499534926,3.8532899577731134,6.300370593515625,0.541436122538313,27.371208169684316,3.677220891711587,69.66386078281249
Northern Samar,2025,326.03796342578124,27.473497314453123,30.834424608593746,24.15670345097656,178.33964875979746,2.113811416651151,6.677721707617188,0.4966743224892938,30.720346673823954,3.145537853063242,75.91938908750001
Eastern Samar,2025,389.51669873193356,27.56464256386719,31.222554240820312,23.95922528339844,178.6531516717438,2.0113771548615618,7.263328997421875,0.5303335362103931,30.63937443664657,3.131077765191373,75.10648584511719
Samar,2025,349.8120634433594,27.375361687890628,31.073457331250005,23.72705399277344,177.34765416607584,1.9179261506057523,7.346403568476561,0.4571999996465603,30.257714274126673,3.108053565055281,75.52582167226564
Biliran,2025,247.62618847167963,27.737363141015624,31.396688942773437,24.117991362890628,176.13563387151308,2.2202662084479057,7.278697859882813,0.46766651010919225,30.48376544227992,3.190931504801287,75.75582566542968
Leyte,2025,261.5968548330078,27.539255500976562,31.060204287304686,24.067673059375,175.3367720488853,1.8326905473314716,6.992531257929688,0.6187752454751675,30.016373966213322,3.1684667435662246,75.014319828125
Southern Leyte,2025,316.0935924902343,27.083526611328125,30.865459344140625,23.34575872675782,178.99739707287404,1.7337370539771144,7.519700327382814,0.6246997526008123,29.478567676830604,3.106279479805766,75.57001767949218
Palawan,2025,192.28643314111326,27.549973004296874,31.6861328625,23.464238721484374,187.54880568931048,2.111756655392635,8.221894291015623,0.7386020094889624,29.744174820011807,3.3008746892607648,72.04263364746095
Aklan,2025,305.0391613452149,27.839193715234376,30.856465643750003,24.871891369140624,181.9118142741711,1.9761213291323863,5.984573944609375,0.6527349181744139,30.359254669951262,3.462899863784452,73.26475945019531
Antique,2025,291.588924288086,27.84495632480469,30.878066666015627,24.86685563886719,178.3652271897224,2.0153843127770106,6.011210557148438,0.6273577520373311,30.202884311639476,3.4274271287347164,73.59143814687499
Iloilo,2025,283.0685800800781,27.962488202929688,31.335311448632815,24.639375850195314,176.96298347640163,1.721173450980447,6.6959348384375,0.6914915934676067,30.567633136745943,3.4229862335434866,75.15499288535156
Guimaras,2025,198.37808480126952,27.745849169140627,31.14325296347656,24.399285578320313,170.94424645023028,1.893105749102601,6.74396732515625,0.7005540777913042,30.080966951880075,3.269048816502548,73.62807818222656
Negros Occidental,2025,236.31443580175784,27.8241166109375,31.220003521875007,24.482386844726562,165.19374089383473,1.5975675820286384,6.737616677148438,0.7296795777480959,30.22713721896747,3.318648751549833,75.63489213671875
Negros Oriental,2025,205.42979915136718,27.161569523828128,30.80196793320313,23.575075273242188,166.19736475095186,1.4988380511744048,7.226892479960938,0.7236962407924447,29.09486983768792,3.1762999470876085,76.3686744359375
Cebu,2025,192.1111069116211,27.40555857128906,31.13879395527344,23.722883590820313,168.02602911349592,1.8555484132446667,7.415910654453125,0.7478021056749089,29.40319052350114,3.230302212020053,75.73218893066407
Dinagat Islands,2025,393.2931972358399,27.10252936699219,30.549393780664065,23.709798883984373,180.59014206010838,1.7926534789060868,6.839595016679688,0.6605240979408854,30.134481013008873,3.071616893111985,75.37619655800782
