province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,226.67183209374997,24.46474134082031,29.305853711718747,19.676548521679692,190.00397929035117,1.2180446814171546,9.629306090039062,0.7344988356574288,25.323003238427177,2.7552971496496554,77.6266210626953
Apayao,2025,229.5955802236328,25.693667632421878,29.433281920117192,22.00531004824219,190.2157860482194,2.3842458196472656,7.4279720918750005,0.5903961683367294,26.685815430545503,3.310480654064654,68.48016520527344
Agusan del Sur,2025,263.7833254423829,27.685845536914062,31.919893348242184,23.50015909140625,189.09112661065814,1.1576802992808441,8.419734356835939,0.8477316605772921,30.38275971420842,2.9736442905964693,75.36722744296874
Abra,2025,251.62078807470698,25.051185032617187,28.694725401562497,21.454759581250002,197.8207753761523,2.5044363989354768,7.239965930312501,0.6702900115822956,25.639202703564813,3.216824769180468,66.37407939902346
Kalinga,2025,237.44916407177732,23.61833010800781,27.582658040820316,19.70565076464844,190.15385355352754,2.204484994679275,7.8770072861718745,0.6052775722723817,24.341304460904116,2.885629599452495,70.86800250781252
Mountain Province,2025,226.74072204589845,28.352851802734374,32.15497230429688,24.599898301171876,188.42833766040428,2.5080719688616266,7.555074993125,0.5325349395487782,29.69284437500547,3.699149477650376,62.20999128496095
Quirino,2025,275.05091181347655,25.276093909765628,29.30054897617188,21.299137943359376,189.25729889190907,2.7247729120684046,8.0014111028125,0.5956180791071364,27.30325934609277,2.895974293040316,73.33737728828125
Ifugao,2025,262.2550520942383,25.26498490097656,29.37518241464843,21.211456839062496,188.25124013264931,2.226646668116249,8.16372527558594,0.5881365800102281,26.518048331628584,3.0334475877890634,70.57998328027344
Benguet,2025,324.66233423779295,21.698854270117184,25.34320356523438,18.101971705664063,190.3955280591614,3.112344040917564,7.241231979570313,0.5346374314254314,21.91413244275379,2.6240080271436157,74.69164223535157
Nueva Vizcaya,2025,278.7511644082031,24.265820992968752,28.186827282226567,20.39815540722656,189.52956762069275,2.461593004715743,7.788671984999999,0.6009830319643391,25.184351147000875,2.8938375123887767,72.1799941953125
Nueva Ecija,2025,232.50058527539062,26.841184081640623,30.882016671289065,22.85340038847656,201.2219383838703,2.3855121028168584,8.0286161828125,0.9216043937178516,28.051019914120378,3.2847980536229198,70.58204869921875
Tarlac,2025,280.47577378320307,27.39391828691406,30.929512929101563,23.910830648242193,200.36235948016338,2.4390197566484586,7.018682120859376,1.1049164632004018,28.4041764301584,3.355798835196387,72.03278595488283
Laguna,2025,196.0681518618164,27.570167085742185,31.04864212753906,24.12832762636719,181.3048554809566,2.2842529539235388,6.920314581171875,0.7477285077913353,29.67310731823443,3.3124934908264474,73.15829620761718
Cavite,2025,196.52058745703118,27.69144666308594,31.273300700781252,24.154617639453125,178.62623934209873,2.8166918054489805,7.118682991328126,0.8580957391156698,28.86935344380926,3.456249208572933,70.54737725839844
Batangas,2025,178.3015070361328,27.541128159570317,31.070269494921877,24.06365057246094,177.75644549201476,2.7189417645833447,7.006618952460937,0.7781102524885993,29.81031383737437,3.2999248438784905,73.36087768554687
Quezon,2025,241.39160667968756,27.249830532226564,30.333884657421876,24.215630903515628,181.4433886060974,2.727970919415462,6.118253413906249,0.6988932736432006,30.400266988631916,3.140496927922273,74.77419341445312
Camarines Norte,2025,278.05470227197264,27.327386774609376,30.32087815566407,24.377262262890625,179.92152164993047,2.63298922057309,5.943615962773437,0.6723411064434011,30.585945178354418,3.170259932385648,75.48862840898438
Camarines Sur,2025,228.03731813525388,27.436293024609377,30.628070698242187,24.294065981640628,178.44506533621686,2.6152088058276615,6.3340046766015625,0.661531914869692,30.44170740011691,3.266881726963407,75.66352685039062
Albay,2025,223.0574351411133,27.10208862304688,30.450590409960938,23.804393270312502,176.4967466887411,2.535769065941138,6.646197529648439,0.6661832418366638,29.965590353214246,3.2332258985563027,75.9950014
Sorsogon,2025,223.58340828125006,27.919263355078122,31.244221961523436,24.644331314453126,177.78945465482127,2.5513994064429593,6.5998909070703125,0.6493879691363442,31.31166134479546,3.300234511667215,75.13382824453126
Rizal,2025,216.90520856494138,26.451622744335936,30.111635391601563,22.84240667597656,184.50288949744237,2.3343251091294457,7.269228605625,0.7588809755123459,27.787094815196355,3.202178690352915,73.6059597921875
Bulacan,2025,203.45042706445307,28.257248705273437,31.785898397265626,24.77357845097656,189.1462280423259,2.5724374725085464,7.012320076289064,0.8751772486337863,29.47981854703282,3.5586681618465814,69.55360710761718
Pampanga,2025,224.82908049902343,28.231745915820312,32.24604314023438,24.26578399140625,192.64830108541824,2.734263052716895,7.980258428828124,1.0896627575421052,29.327325327711186,3.5648324233685957,68.53136248398438
