province,year,pre,tmp,tmx,tmn,srad,ws,dtr,vpd,vap,pet,cld
Bukidnon,2025,197.96983337402344,24.171960449218773,29.273950195312523,19.069970703125023,224.7271728515625,2.6142067909240723,10.2039794921875,0.3607334760880342,2.6541213177758314,5.987440494256428,10.109130859375004
Apayao,2025,236.42095947265625,23.442468261718773,24.809747314453148,22.075158691406273,199.27731323242188,7.1851067543029785,2.734588623046875,0.4430488372399226,2.442459951251649,2.7007854660104558,20.28907470703125
Agusan del Sur,2025,205.76458740234375,28.139916992187523,33.13762817382815,23.142205810546898,222.10491943359375,1.9783512353897095,9.99542236328125,0.47846621650469057,3.3323678255417297,6.410479824276871,11.158032226562497
Abra,2025,242.53952026367188,24.016076660156273,25.286553955078148,22.745629882812523,200.2434539794922,7.250763893127441,2.540924072265625,0.46343701758613143,2.523361018199687,2.6524000863280888,19.90261840820312
Kalinga,2025,258.91741943359375,25.665063476562523,26.989923095703148,24.340203857421898,200.41053771972656,7.008293151855469,2.64971923828125,0.5107895412752932,2.7846674062124253,2.8177494875092686,19.83578491210938
Mountain Province,2025,273.96881103515625,19.227105712890648,20.508264160156273,17.945977783203148,200.76336669921875,7.149318218231201,2.562286376953125,0.3505271421692058,1.8781933832048439,2.3646106879414464,19.694653320312504
Quirino,2025,345.6703796386719,24.523828125000023,25.943505859375023,23.104180908203148,201.85638427734375,6.834761619567871,2.839324951171875,0.48836368648608586,2.59066871366208,2.860727954053096,19.257446289062496
Ifugao,2025,281.9658508300781,21.667871093750023,22.958856201171898,20.376855468750023,201.0979461669922,7.1576828956604,2.582000732421875,0.41200591743664444,2.1788729510268214,2.5343762801912684,19.56082153320312
Benguet,2025,275.6380310058594,21.095880126953148,22.396173095703148,19.795587158203148,201.98092651367188,7.189456462860107,2.6005859375,0.4076066441522575,2.094083431153651,2.517625602979739,19.207629394531246
Nueva Vizcaya,2025,294.6825256347656,23.756402587890648,25.096124267578148,22.416680908203148,201.69813537597656,7.216105937957764,2.679443359375,0.4776107077351417,2.462955507049213,2.7264886697431527,19.320745849609377
Nueva Ecija,2025,269.9022521972656,27.072412109375023,28.393853759765648,25.750970458984398,204.03683471679688,7.035860061645508,2.64288330078125,0.5963906589857073,2.9841239163286413,2.9577983686922806,18.38526611328125
Tarlac,2025,195.15011596679688,25.766748046875023,27.113397216796898,24.420098876953148,205.45896911621094,6.772735595703125,2.69329833984375,0.5787722534937529,2.736596264048232,2.9192014025433366,17.81641235351562
Laguna,2025,273.72979736328125,26.388909912109398,27.800195312500023,24.977655029296898,210.33168029785156,6.9947710037231445,2.822540283203125,0.5956981416496183,2.8437994453208306,3.1029846874308546,15.867327880859373
Cavite,2025,178.45375061035156,27.935021972656273,29.337335205078148,26.532708740234398,209.0404052734375,6.9376702308654785,2.80462646484375,0.6677859912339313,3.097866918339502,3.18169263874029,16.383837890624996
Batangas,2025,226.9777069091797,27.074975585937523,28.456567382812523,25.693383789062523,211.36033630371094,7.041079998016357,2.76318359375,0.650637611774602,2.9304151850297013,3.1330993458067065,15.45586547851563
Quezon,2025,352.63037109375,27.641748046875023,29.073541259765648,26.209985351562523,208.69236755371094,6.632551193237305,2.863555908203125,0.5937137454430249,3.1080813734255224,3.189010926650073,16.52305297851563
Camarines Norte,2025,376.6787109375,27.535394287109398,28.942620849609398,26.128198242187523,208.48780822753906,6.195258617401123,2.814422607421875,0.5808259406597955,3.0980456900015216,3.151042746518577,16.604876708984374
Camarines Sur,2025,319.022705078125,27.255273437500023,28.633050537109398,25.877496337890648,210.75770568847656,6.125194072723389,2.75555419921875,0.591461334838964,3.0276235902044255,3.132385098329304,15.69691772460937
Albay,2025,296.44000244140625,27.133264160156273,28.486322021484398,25.780236816406273,213.4475555419922,6.318072319030762,2.706085205078125,0.605071869465319,2.9882380911825313,3.1352448731438143,14.620977783203127
Sorsogon,2025,283.5986633300781,27.546044921875023,28.929498291015648,26.162622070312523,213.56993103027344,6.5109710693359375,2.766876220703125,0.6284133266232043,3.0527483585484716,3.2012232709260826,14.572027587890624
Rizal,2025,332.09320068359375,25.745446777343773,27.119958496093773,24.370935058593773,207.97715759277344,6.752257347106934,2.7490234375,0.5569068155293293,2.7542818903067663,2.9839338351688958,16.809136962890626
Bulacan,2025,265.3165588378906,26.821008300781273,28.156976318359398,25.485009765625023,207.04885864257812,6.844893455505371,2.671966552734375,0.6002429331995841,2.9278285609546457,3.0010228888236394,17.18045654296875
Pampanga,2025,177.4136199951172,27.333764648437523,28.666314697265648,26.001184082031273,206.14468383789062,6.816188335418701,2.665130615234375,0.6337653099429356,3.0019861874596785,3.0183842566962102,17.542126464843754
Bataan,2025,183.48721313476562,26.296929931640648,27.700769042968773,24.893090820312523,207.8873748779297,6.562655925750732,2.80767822265625,0.615547378994821,2.8053478029216943,3.0524721830917927,16.845050048828124
Zambales,2025,208.2911834716797,24.244683837890648,25.618127441406273,22.871240234375023,205.58203125,6.6545491218566895,2.74688720703125,0.5345880738587739,2.493434308542244,2.846808381064457,17.767187500000002
Pangasinan,2025,205.38685607910156,27.472009277343773,28.875512695312523,26.068536376953148,203.5144500732422,7.034952163696289,2.806976318359375,0.6228392164378388,3.0424292794156913,3.0675099030985367,18.59421997070313
La Union,2025,257.46453857421875,26.271600341796898,27.590173339843773,24.953027343750023,202.35244750976562,7.095466136932373,2.63714599609375,0.5599917206660129,2.8557961227783126,2.8779016488251115,19.059020996093746
Ilocos Sur,2025,268.0487365722656,27.161798095703148,28.445916748046898,25.877679443359398,201.3448028564453,7.096833229064941,2.5682373046875,0.5648281359418854,3.034495369521278,2.882990747254468,19.462078857421872
Ilocos Norte,2025,255.79605102539062,25.335687255859398,26.657800292968773,24.013604736328148,199.2438201904297,7.14424467086792,2.644195556640625,0.4961266549329883,2.7355466983208174,2.7772178369858302,20.302471923828126
Isabela,2025,340.988037109375,25.696618652343773,27.117425537109398,24.275811767578148,200.8136749267578,6.437849044799805,2.84161376953125,0.5071709005346254,2.7944539026556727,2.92599031085988,19.67453002929688
Occidental Mindoro,2025,184.13978576660156,27.798394775390648,29.175042724609398,26.421746826171898,213.35337829589844,6.7687201499938965,2.7532958984375,0.7040757510296668,3.0317094771223863,3.207872515645719,14.65864868164063
Oriental Mindoro,2025,200.0656280517578,26.114129638671898,27.478479003906273,24.749780273437523,214.9849395751953,7.083209037780762,2.72869873046875,0.6193728294495755,2.7648121663469887,3.0990721676730844,14.006024169921872
Marinduque,2025,267.0534362792969,26.164453125000023,27.558892822265648,24.770013427734398,214.1919708251953,7.561526775360107,2.78887939453125,0.5933845357995172,2.800872078000601,3.125081208965518,14.323211669921875
Romblon,2025,258.0223693847656,26.825097656250023,28.200097656250023,25.450097656250023,215.4208526611328,7.260073184967041,2.75,0.626214608710193,2.902704545788251,3.1679246664545166,13.831658935546876
Masbate,2025,260.3692626953125,27.161767578125023,28.569909667968773,25.753625488281273,214.91761779785156,7.228551387786865,2.8162841796875,0.6244748660360192,2.974842203149171,3.222516952103746,14.032952880859373
Catanduanes,2025,316.06298828125,26.200799560546898,27.598474121093773,24.803125000000023,210.40371704101562,5.743204116821289,2.79534912109375,0.5654890450451453,2.8360580903937973,3.0759097082835183,15.83851318359375
Batanes,2025,192.7443389892578,26.485711669921898,26.799249267578148,26.172204589843773,193.16595458984375,7.313947677612305,0.627044677734375,0.5302351844934546,2.928935115280432,1.3461238974917618,22.7336181640625
Northern Samar,2025,293.7334289550781,27.046136474609398,28.549676513671898,25.542565917968773,213.4409637451172,7.164092063903809,3.007110595703125,0.6245356863152927,2.9504661796717437,3.298519731744906,14.623614501953131
