Model,CV_R2,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Best_Params,Time_Seconds
Cubist,0.6698634034770732,0.9750931168215301,1.919812788990447,1.2341149481248905,18.894525426242065,"{'n_committees': 20, 'n_rules': 100, 'neighbors': 2}",19.6
XGB,0.602381139490429,0.9038196308750225,3.7726143147838846,2.7743158487708532,43.54455110481471,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",6.4
RF,0.5901037259465075,0.9430960085110814,2.901820563135746,1.8251635196090086,27.105611261336975,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",63.3
GBM,0.5851814055818856,0.9019083023217067,3.8099152407592323,2.8862084175712575,46.55885367897364,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",100.9
SVM,0.4916071537561697,0.7037953778374826,6.620565768206069,3.6967988566454206,39.263941348038365,"{'C': 10, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",2.9
MARS,0.4463428250194298,0.538542373603472,8.263520379332679,6.08253996440332,85.5352075373952,"{'max_degree': 1, 'max_terms': 18}",5.7
