province,year,cld,wet,vap,tmx,tmp,tmn,pre,pet,dtr,aet,def,PDSI,q,soil,srad,vpd,ws
Bukidnon,2025,76.19052975410156,211.3068284,25.29051883331448,29.73067670976562,24.52898389453125,19.380210631054688,217.4195951552734,3.0729016992085625,10.350466978710935,100.23960569412928,4.2606764928193375,3.9486790123456763,181.89047367094932,62.65840513983366,193.5942075618355,0.7777378586427424,1.0879071186653846
Apayao,2025,68.59428446796875,142.11799648666667,26.72678230646056,29.9162683703125,26.166662627539065,22.46828001894532,238.2538687978516,3.347264418191028,7.447988571367187,98.3031198830408,6.638997076023386,0.40076461988304146,149.5743011695901,275.80058187134466,189.93048789148116,0.6308403830026068,2.281968445379687
Agusan del Sur,2025,74.42743374179686,211.28499509333332,30.32955225788824,32.16849259140625,27.60547139140625,23.090777987890625,267.3691897001953,3.2432607248023024,9.077714703515625,106.15885889745753,1.1603299057412169,3.427672807769206,229.1451956583828,55.563103399028805,191.44061086358775,0.8831692661731569,1.0755616092669584
Abra,2025,65.83449871054688,131.10266387333334,25.67518322709524,29.2448963,25.54946384121094,21.90114935175781,227.30578105566408,3.3209069671907567,7.343747058242188,98.89268900343619,11.342932416952994,1.195424684994273,150.741406071019,301.4095704467349,199.1697270973437,0.722362420404075,2.2080988420964878
Kalinga,2025,70.36362628710938,161.45999658,24.380163291010053,28.136942708789064,24.108524810156247,20.13177991503906,236.9843813569335,3.0033451552898347,8.00516280375,95.3795243531202,7.778637747336361,0.8997290715372905,139.81894216133898,222.1621080669705,191.41479410528532,0.6607441590841773,1.9093162133987576
Mountain Province,2025,61.68384809648439,128.32866325333333,29.725551789404324,32.728849257421885,28.87219079199219,25.064723740625,193.5461770629883,3.798582735608092,7.664126506796874,93.40590058479528,6.223461988304086,1.1760467836257296,145.241742690058,206.40332163742647,189.74369563159567,0.57070190765079,2.1863169887743457
Quirino,2025,73.37535702460937,202.96199575333333,27.34937127416908,29.85500759433594,25.7851942515625,21.76291052636719,301.7081048066406,2.974390701950388,8.09209713796875,100.23864864864836,6.297650150150135,1.1576670420420412,128.1857957957954,91.28559309309298,189.1623495510887,0.6418094600456161,2.521062403721848
Ifugao,2025,70.10975622949219,165.16732962666669,26.55822105855746,29.9545189625,25.79525528671875,21.69262444160156,219.73827047802732,3.130866366731485,8.261894220898437,95.04720486111108,6.602734374999988,1.0152751736111105,126.02290798611075,152.80666666666613,189.42680775960244,0.6304820676485354,1.9143756930033344
Benguet,2025,73.75720986230469,165.78266395999998,21.95315320875219,25.884628125781248,22.18509999765625,18.53306911777344,222.874036203125,2.738610575823053,7.351559128007812,88.46372495446262,13.055887978142039,1.1266935336976307,110.60477686703074,210.91701275045486,192.7316089917786,0.5688994543158068,2.8218933248988867
Nueva Vizcaya,2025,71.87118071875001,171.41332946666668,25.235850731068407,28.771168712890624,24.817880929492187,20.917939953125,222.4566331582031,2.9735715233298188,7.853228869765624,94.87548344017087,9.467120726495716,0.9914230769230754,93.6631677350425,116.94248397435857,190.301601312099,0.6453389691099374,2.174784561646285
Nueva Ecija,2025,70.5141653984375,171.4106630866667,28.113953565836635,31.40953742324219,27.374692382421877,23.392905393359374,215.13400202343752,3.315773580468081,8.016631929882813,94.05207421707406,26.140471900471862,1.020437365937365,81.74357357357349,110.2497726297722,201.39164663582343,0.9686450830486496,2.172565020297327
Tarlac,2025,71.53591400664062,131.43666330666667,28.45191114556704,31.375484608789066,27.837765943164055,24.35254207402344,182.4623735146484,3.4048795848107374,7.022942374765626,91.53887715179962,31.19946009389666,0.946857589984349,89.91723395931129,162.75825117370854,201.6045393507688,1.1427386949694531,2.239677982661642
Laguna,2025,73.00048370761718,173.96266325333332,29.733916795292775,31.500402991796875,28.0695842,24.67545897402344,233.29145508447263,3.2999665540826584,6.824944097773438,90.56761666666658,17.3343444444444,2.073147777777776,107.97521111111107,110.53003333333308,181.69938673095663,0.7867757427719114,2.145210814870194
