province,Historical Avg (2010–2024),Future Avg (2025–2034),% Change
Abra,7.46,6.54,-12.33
Agusan del Norte,11.8,15.76,33.6
Agusan del Sur,6.53,7.77,18.85
Aklan,6.79,6.24,-8.13
Albay,15.86,8.04,-49.31
Antique,10.96,10.08,-8.02
Apayao,6.76,8.29,22.69
Aurora,3.91,,
Basilan,3.11,8.08,160.0
Bataan,5.66,5.58,-1.35
Batanes,2.95,2.39,-18.76
Batangas,5.84,6.17,5.69
Benguet,6.66,6.33,-4.98
Biliran,8.76,7.3,-16.62
Bohol,12.01,13.05,8.67
Bukidnon,61.85,55.88,-9.64
Bulacan,13.07,11.62,-11.11
Cagayan,13.86,,
Camarines Norte,1.88,2.97,58.42
Camarines Sur,3.17,5.39,69.73
Camiguin,4.09,12.65,209.4
Capiz,6.85,7.19,5.04
Catanduanes,2.64,5.09,92.94
Cavite,5.68,5.58,-1.68
Cebu,8.33,8.72,4.76
Davao Occidental,37.95,36.82,-2.97
Davao Oriental,15.45,16.26,5.23
Davao de Oro,42.0,34.35,-18.22
Davao del Norte,43.63,38.87,-10.91
Davao del Sur,38.75,36.63,-5.46
Dinagat Islands,3.08,7.4,140.3
Eastern Samar,2.58,3.67,42.0
Guimaras,11.73,10.52,-10.33
Ifugao,7.4,7.78,5.1
Ilocos Norte,6.26,8.26,32.01
Ilocos Sur,6.67,7.08,6.22
Iloilo,9.93,8.73,-12.17
Isabela,16.22,13.37,-17.54
Kalinga,4.12,5.9,43.21
La Union,6.55,6.45,-1.53
Laguna,2.21,5.16,132.93
Lanao del Norte,32.85,21.47,-34.62
Lanao del Sur,21.22,21.35,0.61
Leyte,6.04,7.11,17.65
Maguindanao del Norte,20.74,17.54,-15.43
Maguindanao del Sur,20.74,19.01,-8.32
Marinduque,1.5,3.6,140.39
Masbate,3.7,3.7,0.04
Misamis Occidental,14.73,12.87,-12.67
Misamis Oriental,12.58,11.8,-6.15
Mountain Province,5.63,6.25,10.99
Negros Occidental,9.36,9.65,3.09
Negros Oriental,8.99,10.19,13.37
North Cotabato,34.55,25.17,-27.17
Northern Samar,3.62,7.29,101.52
Nueva Ecija,11.28,9.86,-12.6
Nueva Vizcaya,13.78,14.45,4.82
Occidental Mindoro,4.65,5.57,19.79
Oriental Mindoro,5.65,4.78,-15.42
Palawan,5.3,5.02,-5.29
Pampanga,5.57,6.16,10.47
Pangasinan,4.75,4.97,4.61
Quezon,3.08,3.77,22.46
Quirino,7.95,6.72,-15.49
Rizal,2.12,4.29,102.08
Romblon,3.67,5.58,52.09
Samar,22.51,12.99,-42.27
Sarangani,52.61,38.01,-27.75
Siquijor,11.7,11.96,2.21
Sorsogon,7.01,6.85,-2.2
South Cotabato,30.96,30.73,-0.75
Southern Leyte,6.49,7.16,10.33
Sultan Kudarat,27.48,32.69,18.96
Sulu,6.52,7.02,7.74
Surigao del Norte,4.51,6.2,37.65
Surigao del Sur,22.21,24.29,9.37
Tarlac,5.88,6.88,17.06
Tawi-Tawi,11.19,,
Zambales,18.5,17.57,-5.03
Zamboanga Sibugay,13.84,10.73,-22.44
Zamboanga del Norte,10.81,10.8,-0.11
Zamboanga del Sur,12.83,14.31,11.51
