Crop,Geolocation,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual,2023 Annual,2024 Annual
Banana,....Negros Oriental,8062,8063,8028,8021,8021,8024,8019,8019,8019,8019,8019,8019,8008.5,8584.47,8837.43
Banana,....Siquijor,1273,1275,1280,1282,1285,1285,1269.5,1277,1278.5,1279.5,1282.5,1287.5,1287.5,1287.5,1290.57
Banana,..REGION VIII (EASTERN VISAYAS),30565.7,30380.46,30542.49,30542.77,27556.1,27521.48,27850.8,27865,27798,27539,27497,27970.07,24389.95,26476.79,27060.34
Banana,....Biliran,1427.7,1429.96,1430.49,1430.77,1234.6,1234.48,1241,1241.5,1137,1127,1095,1125,1141.09,1136.45,1042.63
Banana,....Eastern Samar,1440,1430.5,1434,1434,1407,1407,1407,1407,1407,1338,1358,1360.4,1360.4,1517.71,1647.53
Banana,....Leyte,6247,6249,6328,6328,4895,4890,4934,4935,4934,4934,4934,4934,4934,5039,5041
Banana,....Northern Samar,5390,5390,5390,5390,5396,5379,5379,5379,5389,5392,5392,5392,5392,5392,5394.41
Banana,....Samar,4945,4965,4965,4965,4723,4723,4735,4737.5,4754,4771,4918,5488.67,6277.46,7290.49,8266.26
Banana,....Southern Leyte,11116,10916,10995,10995,9900.5,9888,10154.8,10165,10177,9977,9800,9670,5285,6101.14,5668.51
Banana,..REGION IX (ZAMBOANGA PENINSULA),19708.5,19863.5,20219,20142,19898,19290,19451,19648,19926,19828,19818.5,19888.5,19939.77,20088.49,20071.29
Banana,....Zamboanga del Norte,7878,8075,8436,8437,8430,8416,8413,8605,8858,8951,8954,9021,9071.96,9159,9141.8
Banana,....Zamboanga del Sur,6193,6257,6197,6221,6205,6208,6395,6395,6421,6228,6217.5,6219.5,6219.5,9188.5,9188.5
Banana,....Zamboanga Sibugay,2286.5,2166.5,2159,2054,1829,1730,1730,1735,1734,1738,1736,1739,1739.31,1740.99,1740.99
Banana,......City of Zamboanga,3351,3365,3427,3430,3434,2936,2913,2913,2913,2911,2911,2909,2909,0,0
Banana,..REGION X (NORTHERN MINDANAO),51519,51452.05,51433.25,51857,52111.5,52191.55,52523.05,53702.35,53574.5,53352.7,53614.2,53795.37,53961.3,54738.23,54413.32
Banana,....Bukidnon,20502,20392,20379,20791,20789,20884,20984,21159,21219,21264,21506,21611.22,21657.82,21602.61,21605.63
Banana,....Camiguin,1260,1260.05,1257.25,1246,1244.5,1244.55,1235.05,1237.35,1235.5,1220.7,1218.2,1218.15,1211.48,1293.97,1218.04
Banana,....Lanao del Norte,8759,8678,8663,8659,8659,8652,8615,8615,8619,8618,8616,8698,8716,8689,8695
Banana,....Misamis Occidental,4540,4582,4584,4584,4717,4737,4727,5129,5129,5140,5164,5170,5181,5382.65,5382.65
Banana,....Misamis Oriental,16458,16540,16550,16577,16702,16674,16962,17562,17372,17110,17110,17098,17195,17770,17512
Banana,..REGION XI (DAVAO REGION),87313,88379,88320,83627.64,86482,88274.8,89086.8,92650.03,92437.8,92397.45,90301.89,89075.52,89271.39,89246.91,88418.18
Banana,....Davao de Oro,22323,22323,22178,18691,18962,19131,18788,22076.25,21786.25,21786.25,21560.25,21565.25,21565.25,21505.25,21189.73
Banana,....Davao del Norte,35359,35933,35603,35320,36153,36368,37309,37278.78,37286.55,36639.2,34173.2,32905.3,33197.75,33198.37,33194.72
Banana,....Davao del Sur,15072,15192,15374,15373,15384,15413,15353,15353,15357,11692.67,11699.17,11700.72,11692.2,18908.69,18908.69
Banana,....Davao Occidental,0,0,0,0,0,0,0,0,0,4181.33,4387.02,4415.35,4418.19,4475.6,4420.04
Banana,....Davao Oriental,9070,9414,9590,8693.64,10431,10528.8,10658.8,10705,10750,10793,11177.25,11177.9,11162,11159,10705
Banana,......City of Davao,5489,5517,5575,5550,5552,6834,6978,7237,7258,7305,7305,7311,7236,0,0
Banana,..REGION XII (SOCCSKSARGEN),29243,29283.65,29952,32075,32077.5,32800,30442.75,31228.5,31913.5,32918.92,36374.29,36100.07,35795.64,35448.7,34579.3
Banana,....Cotabato,15263,15283,15367.5,16675,16663,16212,14040,14250,14274,15192,18400,18405,18228,18185.36,17379.54
Banana,....Sarangani,3276,3542.4,3670,3713,3882,3808,3624.25,3745,3824,3852,3867,3673.3,3547.8,3540.5,3638.41
Banana,....Sultan Kudarat,2738,2588.25,2234.5,2422,2360.5,3700,3979.5,4455.5,4827.5,4816.92,5102.29,5143.77,5283.84,5378.84,5570.35
Banana,....South Cotabato,7966,7870,8680,9265,9172,9080,8799,8778,8988,9058,9005,8878,8736,8344,7991
Banana,..REGION XIII (CARAGA),26060,24728,26262.6,23019.96,23105.95,23109.37,23413.6,23523.08,23720.95,24054.95,24601.45,24605.5,23854.76,23778.82,22853.09
Banana,....Agusan del Norte,9008,8771,8635,5418.41,5415.41,5323,5337,5347,5348,5351,5351,5350,5350,5366.09,5366.09
Banana,....Agusan del Sur,11462,11068,11025,10242.27,10759,10869.8,11142,11148,11243,11573,12118,12118,12117.77,12974.57,14100.02
Banana,....Dinagat Islands,0,0,0,77.12,75.74,75.91,78.1,79.58,97.45,97.45,97.45,108.51,97.51,148.5,150.28
Banana,....Surigao del Norte,1090,934,952,2195.22,1362.8,1360,1359.5,1351.5,1351.5,1351.5,1350.5,1348.5,1331,1331,1359.67
Banana,....Surigao del Sur,4500,3955,5650.6,5086.95,5493,5480.66,5497,5597,5681,5682,5684.5,5680.49,4958.48,3958.66,1877.03
Banana,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),31552.45,32236.55,32488,32728.2,33731.75,33731,33768.13,33828.2,33853.4,33814.5,33828.14,33779.34,33782.79,33839.14,34921.7
Banana,....Basilan,7094,7094,7104,7119,7104,7104,7104,7104,7104,7104,7110.94,7095.94,7095.94,7095.94,7095.94
Banana,....Lanao del Sur,4915,4915,5205,5208,5322,5208,5208,5208,5208,5209,5250,5252.4,5262.4,5317.4,5321.9
Banana,....Maguindanao,16286,16992.5,16942,17162,18077,18192,18225,18225,18247,18247,18207,18155,18155,18155,18155
Banana,....Sulu,2532,2508,2511,2516,2504,2504,2507,2566,2568,2529,2532,2530,2524,2524,2524
Banana,....Tawi-tawi,725.45,727.05,726,723.2,724.75,723,724.13,725.2,726.4,725.5,728.2,746,745.45,746.8,1465.3
