province,Historical Avg (2010–2024),Future Avg (2025–2034),% Change
Abra,7.46,7.46,-0.03
Agusan del Norte,11.8,13.84,17.32
Agusan del Sur,6.53,7.34,12.32
Aklan,6.79,7.33,8.01
Albay,15.86,10.32,-34.95
Antique,10.96,9.27,-15.39
Apayao,6.76,8.13,20.35
Aurora,3.91,3.99,2.11
Basilan,3.11,3.18,2.28
Bataan,5.66,6.13,8.32
Batanes,2.95,6.42,117.74
Batangas,5.84,4.49,-23.05
Benguet,6.66,5.23,-21.44
Biliran,8.76,10.62,21.19
Bohol,12.01,13.91,15.78
Bukidnon,61.85,57.06,-7.75
Bulacan,13.07,13.6,4.06
Cagayan,13.86,11.69,-15.65
Camarines Norte,1.88,2.33,24.18
Camarines Sur,3.17,3.65,15.07
Camiguin,4.09,4.89,19.76
Capiz,6.85,8.17,19.3
Catanduanes,2.64,3.12,18.21
Cavite,5.68,5.43,-4.45
Cebu,8.33,9.06,8.76
Davao Occidental,37.95,38.64,1.81
Davao Oriental,15.45,16.87,9.17
Davao de Oro,42.0,39.62,-5.65
Davao del Norte,43.63,43.62,-0.04
Davao del Sur,38.75,41.25,6.46
Dinagat Islands,3.08,5.33,73.03
Eastern Samar,2.58,3.96,53.49
Guimaras,11.73,11.96,1.94
Ifugao,7.4,7.85,6.13
Ilocos Norte,6.26,6.53,4.35
Ilocos Sur,6.67,7.45,11.77
Iloilo,9.93,10.09,1.54
Isabela,16.22,12.86,-20.73
Kalinga,4.12,5.18,25.75
La Union,6.55,6.97,6.41
Laguna,2.21,2.56,15.61
Lanao del Norte,32.85,32.54,-0.94
Lanao del Sur,21.22,21.93,3.35
Leyte,6.04,7.16,18.53
Maguindanao del Norte,20.74,24.15,16.47
Maguindanao del Sur,20.74,18.42,-11.18
Marinduque,1.5,1.76,17.33
Masbate,3.7,3.79,2.54
Misamis Occidental,14.73,16.12,9.43
Misamis Oriental,12.58,13.3,5.74
Mountain Province,5.63,6.86,21.84
Negros Occidental,9.36,10.0,6.79
Negros Oriental,8.99,9.7,7.91
North Cotabato,34.55,31.23,-9.62
Northern Samar,3.62,4.16,15.17
Nueva Ecija,11.28,11.13,-1.37
Nueva Vizcaya,13.78,14.49,5.14
Occidental Mindoro,4.65,4.71,1.32
Oriental Mindoro,5.65,5.94,5.08
Palawan,5.3,4.23,-20.24
Pampanga,5.57,5.14,-7.77
Pangasinan,4.75,4.65,-2.19
Quezon,3.08,3.09,0.28
Quirino,7.95,9.95,25.14
Rizal,2.12,2.51,18.13
Romblon,3.67,3.93,7.03
Samar,22.51,20.25,-10.02
Sarangani,52.61,53.66,1.99
Siquijor,11.7,9.46,-19.18
Sorsogon,7.01,7.46,6.47
South Cotabato,30.96,31.2,0.79
Southern Leyte,6.49,7.19,10.7
Sultan Kudarat,27.48,36.91,34.33
Sulu,6.52,6.99,7.19
Surigao del Norte,4.51,9.09,101.6
Surigao del Sur,22.21,42.99,93.59
Tarlac,5.88,6.69,13.82
Tawi-Tawi,11.19,7.56,-32.5
Zambales,18.5,19.02,2.8
Zamboanga Sibugay,13.84,14.95,8.02
Zamboanga del Norte,10.81,14.06,30.04
Zamboanga del Sur,12.83,17.38,35.46
