province,year,cld,wet,vap,tmx,tmp,tmn,pre,pet,dtr,aet,def,PDSI,q,soil,srad,vpd,ws
Bukidnon,2025,77.6266210626953,211.3068284,25.323003238427177,29.305853711718747,24.46474134082031,19.67654852167969,226.67183209375,2.7552971496496554,9.629306090039062,100.23960569412928,4.2606764928193375,3.9486790123456763,181.89047367094932,62.65840513983366,190.0039792903512,0.7344988356574288,1.2180446814171546
Apayao,2025,68.48016520527344,142.11799648666667,26.685815430545503,29.433281920117192,25.69366763242188,22.00531004824219,229.5955802236328,3.310480654064654,7.427972091875,98.3031198830408,6.638997076023386,0.40076461988304146,149.5743011695901,275.80058187134466,190.2157860482194,0.5903961683367294,2.3842458196472656
Agusan del Sur,2025,75.36722744296874,211.28499509333332,30.38275971420842,31.919893348242184,27.685845536914066,23.50015909140625,263.7833254423829,2.9736442905964693,8.419734356835939,106.15885889745753,1.1603299057412169,3.427672807769206,229.1451956583828,55.563103399028805,189.0911266106581,0.8477316605772921,1.157680299280844
Abra,2025,66.37407939902346,131.10266387333334,25.639202703564813,28.694725401562497,25.051185032617187,21.45475958125,251.62078807470695,3.216824769180468,7.239965930312501,98.89268900343619,11.342932416952994,1.195424684994273,150.741406071019,301.4095704467349,197.8207753761523,0.6702900115822956,2.5044363989354768
Kalinga,2025,70.86800250781252,161.45999658,24.34130446090412,27.58265804082032,23.61833010800781,19.70565076464844,237.4491640717773,2.885629599452495,7.877007286171874,95.3795243531202,7.778637747336361,0.8997290715372905,139.81894216133898,222.1621080669705,190.15385355352757,0.6052775722723817,2.204484994679275
Mountain Province,2025,62.20999128496095,128.32866325333333,29.69284437500547,32.15497230429688,28.35285180273437,24.59989830117188,226.74072204589845,3.699149477650376,7.555074993125,93.40590058479528,6.223461988304086,1.1760467836257296,145.241742690058,206.40332163742647,188.42833766040428,0.5325349395487782,2.508071968861626
Quirino,2025,73.33737728828125,202.96199575333333,27.30325934609277,29.30054897617188,25.276093909765628,21.299137943359376,275.05091181347655,2.895974293040316,8.0014111028125,100.23864864864836,6.297650150150135,1.1576670420420412,128.1857957957954,91.28559309309298,189.25729889190907,0.5956180791071364,2.724772912068405
Ifugao,2025,70.57998328027344,165.16732962666669,26.518048331628584,29.37518241464843,25.26498490097656,21.211456839062496,262.2550520942383,3.0334475877890634,8.16372527558594,95.04720486111108,6.602734374999988,1.0152751736111105,126.02290798611075,152.80666666666613,188.2512401326493,0.5881365800102281,2.226646668116249
Benguet,2025,74.69164223535157,165.78266395999998,21.91413244275379,25.34320356523438,21.698854270117184,18.101971705664063,324.66233423779295,2.624008027143616,7.241231979570313,88.46372495446262,13.055887978142039,1.1266935336976307,110.60477686703074,210.91701275045486,190.3955280591614,0.5346374314254314,3.112344040917564
Nueva Vizcaya,2025,72.1799941953125,171.41332946666668,25.184351147000875,28.186827282226567,24.265820992968752,20.39815540722656,278.7511644082031,2.8938375123887767,7.788671984999999,94.87548344017087,9.467120726495716,0.9914230769230754,93.6631677350425,116.94248397435857,189.52956762069277,0.6009830319643391,2.461593004715743
Nueva Ecija,2025,70.58204869921875,171.4106630866667,28.051019914120378,30.882016671289065,26.841184081640623,22.85340038847656,232.50058527539065,3.28479805362292,8.0286161828125,94.05207421707406,26.140471900471862,1.020437365937365,81.74357357357349,110.2497726297722,201.2219383838703,0.9216043937178516,2.3855121028168584
Tarlac,2025,72.03278595488283,131.43666330666667,28.4041764301584,30.929512929101563,27.39391828691406,23.910830648242197,280.47577378320307,3.355798835196387,7.018682120859376,91.53887715179962,31.19946009389666,0.946857589984349,89.91723395931129,162.75825117370854,200.36235948016335,1.1049164632004018,2.4390197566484586
Laguna,2025,73.15829620761718,173.96266325333332,29.67310731823443,31.04864212753906,27.570167085742185,24.12832762636719,196.0681518618164,3.3124934908264474,6.920314581171875,90.56761666666658,17.3343444444444,2.073147777777776,107.97521111111107,110.53003333333308,181.3048554809566,0.7477285077913353,2.2842529539235388
Cavite,2025,70.54737725839844,137.97133006,28.86935344380926,31.27330070078125,27.69144666308594,24.154617639453125,196.5205874570312,3.456249208572933,7.118682991328126,88.43991269841266,24.08252380952376,2.3604928571428556,106.76953968253936,183.77446031745995,178.62623934209873,0.8580957391156698,2.8166918054489805
Batangas,2025,73.36087768554687,161.96866317333334,29.81031383737437,31.07026949492188,27.54112815957032,24.06365057246094,178.3015070361328,3.2999248438784905,7.006618952460937,91.26426322043962,18.655831847890628,2.323504753416517,90.76475935828866,163.68773321449746,177.75644549201476,0.7781102524885993,2.7189417645833447
Quezon,2025,74.77419341445312,206.70399567333334,30.40026698863192,30.33388465742188,27.249830532226564,24.215630903515628,241.3916066796876,3.140496927922273,6.118253413906249,98.03064014202147,11.710802005012498,2.3917620091896388,123.14690789473654,102.01550334168724,181.4433886060974,0.6988932736432006,2.727970919415462
Camarines Norte,2025,75.48862840898438,221.64399632666667,30.585945178354415,30.32087815566407,27.327386774609376,24.377262262890625,278.05470227197264,3.170259932385648,5.943615962773437,102.06574215436765,5.652875318066145,2.208882527565733,187.88527141645415,92.47779050042391,179.92152164993047,0.6723411064434011,2.63298922057309
Camarines Sur,2025,75.66352685039062,216.50349566666668,30.44170740011691,30.628070698242187,27.436293024609377,24.294065981640628,228.03731813525388,3.266881726963407,6.3340046766015625,99.56922967696096,6.432951721689719,2.6500686900958446,180.02747248846248,87.2659052183173,178.44506533621686,0.661531914869692,2.615208805827661
Albay,2025,75.9950014,219.50399494,29.96559035321425,30.450590409960935,27.10208862304688,23.804393270312502,223.0574351411133,3.2332258985563027,6.646197529648439,100.21728844738749,4.08170713760117,2.868919058130976,219.62132082413493,85.87852465047825,176.4967466887411,0.6661832418366638,2.535769065941138
Sorsogon,2025,75.13382824453126,212.59166168,31.31166134479546,31.24422196152344,27.91926335507812,24.64433131445313,223.5834082812501,3.300234511667215,6.5998909070703125,100.65316968130888,3.814771748492674,3.108801464254951,215.09515073212702,88.50692506459944,177.78945465482127,0.6493879691363442,2.5513994064429597
Rizal,2025,73.6059597921875,180.92199642,27.787094815196355,30.111635391601563,26.451622744335936,22.84240667597656,216.90520856494135,3.202178690352915,7.269228605625,90.3382262382864,19.44375502008028,2.095789825970547,123.47052878179343,113.36528781793801,184.5028894974424,0.7588809755123459,2.3343251091294457
Bulacan,2025,69.55360710761718,131.42666326666668,29.47981854703282,31.785898397265623,28.25724870527344,24.77357845097656,203.45042706445307,3.5586681618465814,7.012320076289064,93.00232558139525,22.595374677002543,1.9346726959517644,137.77741602067132,123.3061972437548,189.1462280423259,0.8751772486337863,2.5724374725085464
Pampanga,2025,68.53136248398438,134.13866354666666,29.327325327711183,32.24604314023438,28.231745915820312,24.26578399140625,224.82908049902343,3.564832423368596,7.980258428828124,91.70151265126505,31.240869086908653,1.4259609460946083,109.03302530252998,169.5149284928488,192.64830108541824,1.0896627575421052,2.734263052716895
Bataan,2025,66.86601583417968,129.17599676,28.307437203343422,30.977268776757818,27.31517795253906,23.7039178765625,276.48325895947266,3.527512994904187,7.273351310195313,93.59389610389603,28.496111111111073,2.241142135642133,153.26170274170232,285.1435569985564,186.6396235887928,0.9992190494266192,3.260987823238616
Zambales,2025,68.97690546582032,132.31399736666668,28.14115386342244,30.796787069140624,27.034215428125,23.31828687304688,303.81101844970703,3.423345658937888,7.47850015609375,96.59124790619754,28.334156895588993,1.6128062534896692,157.424511446119,288.35423785594594,195.15756586224944,1.051743978551297,3.2263195111739518
Pangasinan,2025,67.91983006132813,128.16833052666667,28.99721424103052,31.458505368554693,27.71855404726563,24.02860432597656,285.6301303881836,3.50689692105719,7.429900492578124,97.90857314148656,31.421203037569896,1.2529520383693031,110.46188049560321,184.62434652278145,204.7929312609478,1.128608278762853,2.833657940336265
La Union,2025,67.44583689199219,125.40133031333333,29.47629575013185,31.675157320117187,27.93832786660156,24.251112530664063,241.59325394677737,3.4823567667031674,7.424044359453125,95.10427350427332,32.81435897435893,0.6575662393162396,95.97705128205102,217.7458760683755,205.5209956268567,1.0038814948985393,3.0391128178294857
Ilocos Sur,2025,71.58055032558593,97.77133132333333,29.44821769402874,31.463135335742184,28.010917728515626,24.611233890625,207.84422753564456,3.502958463016911,6.851901365117188,96.47526984126971,24.19478968253964,0.9294797619047623,114.19796031746007,268.59802777777725,204.04849931698703,0.8134128654799877,2.906276128296621
Ilocos Norte,2025,59.62793989335938,119.35066395333334,26.732657416016263,29.764642353515622,26.00922989609375,22.298854059765628,232.54914720263676,3.635840384478153,7.46578780375,98.31643719806743,16.142119565217346,0.8193354468599036,117.77060688405761,274.04461352656955,199.1939139368909,0.7100820043717981,2.7212952192278825
Isabela,2025,69.85400608671874,180.10149646,28.926877341260635,31.02146561386719,26.718872200195317,22.46504739707032,208.3604743540039,3.2116396894715518,8.556418216796875,99.87784641784609,10.348509223509184,0.8814340411840411,117.00372265122236,128.50221685971638,192.47305166512032,0.6936672319588219,2.4290248006160318
Occidental Mindoro,2025,72.11244270507814,150.21155200666666,28.659696361496376,30.713254633984377,26.987437854101564,23.30915309179688,194.0979992397461,3.3630947851405284,7.4041011421875,93.19665532879813,16.121205053449913,2.4023600583090357,146.67382734045952,213.24720116618022,179.9651297047484,0.7162727696345483,2.810021566064753
Oriental Mindoro,2025,73.76087433300782,162.93088542666666,28.590289771013357,30.361270681835936,26.774870254882813,23.239573824414062,195.76612759667967,3.314731562170333,7.121696847421875,94.79707070707056,11.30569985569983,2.408643819143818,145.4041630591627,172.65929292929235,177.08511839367037,0.6922317794455178,2.713371189202749
Marinduque,2025,72.94106068066407,186.98132900000002,29.85260905501557,30.221476840429688,27.08821766308594,24.004149399804685,176.80381904785156,3.280868578859628,6.217327370625,97.46063725490178,11.578537581699315,3.158024509803921,95.62275326797361,133.8639542483656,179.37999660716287,0.7346092238721779,2.688834550221756
Romblon,2025,74.14194058691407,181.70099598,29.91245060163561,30.085075773242185,27.329648597265624,24.625045566015626,177.52288796289062,3.333885851798026,5.460030047226563,98.16001949317715,11.176130604288465,3.6696018518518514,144.30636939571096,149.52521929824513,182.92262669791907,0.7120308699292248,2.7442874555866563
